X1SEX,X1RACE,X1DUALLANG,X1TXMTH,X1TXMSEM,X1TXMQUINT,X1PAR1EDU,X1PAR2EDU,X1MTHID,X1MTHUTI,X1MTHEFF,X1MTHINT,X1SCHOOLBEL,X1SCHOOLENG,X1STUEDEXPCT,X1PAREDEXPCT,X1FAMINCOME,X1TMCERT,X1LOCALE,X1REGION,S1MREASREQ,S1MREASPAR,S1MREASTCHR,S1MREASCNSL,S1MREASGOOD,S1MREASJOB,S1MREASLIKE,S1MREASENJOY,S1MREASCLG,S1MREASUSE,S1MREASFRND,S1MREASOTH,S1MREASNOT,S1AVID,S1MESA,S1APCALC,S1IBCALC
1,8,1,0.2447,0.2323,4,2,3,0.6,-0.3,0.1,-0.18,-3.18,-1.08,8,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2,8,1,-0.3963,0.3256,2,7,7,0.6,1.31,-0.76,0.49,0.84,1.39,5,10,6,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,8,1,1.2815,0.2434,5,2,2,0.6,-0.3,0.1,0.17,-0.1,-0.69,8,8,5,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2,8,1,1.83,0.2304,5,2,2,1.76,-0.3,1.62,0.66,-0.04,-1.11,10,10,2,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2,8,1,0.8004,0.2644,5,3,5,-1.13,-0.36,1.62,-0.71,-0.04,1.39,8,8,3,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,8,1,0.389,0.2821,4,3,4,0.63,0.9,1.62,-0.71,-1.57,0.37,2,6,5,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,5,2,-0.6838,0.294,2,3,3,-0.57,-1.9,-1,0.19,1.59,-0.2,8,4,3,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,8,1,0.9149,0.2338,5,2,1,1.76,1.31,1.62,0.49,0.52,0.71,10,4,3,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2,3,1,-1.5383,0.2515,1,2,1,-0.57,-0.3,0.1,0.66,-0.88,1.39,10,6,4,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2,3,1,-0.1178,0.2546,3,5,2,-1.13,1.31,0.94,-0.26,1.26,0.6,9,10,4,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,8,1,1.2049,0.227,5,4,3,1.19,-0.93,1.62,-0.18,-0.98,-1.43,10,10,2,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2,8,1,-0.598,0.2195,2,5,4,0.6,-1.33,0.1,-1.33,-1.13,1.39,11,6,5,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2,8,1,0.4969,0.2388,4,2,2,-1.73,-1.96,-0.56,-2.46,-2.9,-0.66,6,4,2,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,8,1,0.8084,0.2515,5,4,5,0.6,-1.33,1.62,-0.48,-0.98,0.71,8,6,4,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,5,2,0.5615,0.2805,4,1,1,0.6,1.31,1.62,0.67,-0.86,-2.48,2,11,3,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,8,1,-0.7229,0.3155,2,2,1,0.03,0.17,1.62,1.35,-0.85,-0.62,11,2,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,5,1,0.5653,0.2336,4,4,4,-0.57,-0.3,0.1,-1.31,1.09,0.21,4,6,13,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,8,1,1.1686,0.2406,5,3,4,-0.53,0.27,-0.17,0.56,1.09,0.71,10,4,6,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,8,1,-0.4646,0.2995,2,3,2,-0.57,-0.3,0.1,-0.18,1.09,-0.28,10,6,10,1,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2,8,1,-0.1378,0.2558,3,5,4,-0.57,-0.13,0.1,0.19,-0.04,-0.28,10,10,5,1,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,3,1,0.5678,0.2836,4,4,5,0,-0.3,1.62,-1.01,-0.39,-0.2,8,10,8,0,2,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
2,8,1,1.7816,0.245,5,4,4,1.76,1.31,1.62,1.05,1.34,1.01,10,8,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
1,3,2,0.0232,0.2677,3,4,4,1.16,1.31,1.34,1.23,-0.04,0.71,8,10,4,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
2,8,1,-0.1543,0.2323,3,2,4,1.76,-1.33,0.1,2.08,1.34,0.59,11,8,11,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
1,8,1,1.283,0.2251,5,3,4,1.76,0.27,1.62,0.58,0.12,0.49,10,6,10,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
2,8,1,0.6028,0.2247,4,5,4,1.16,-0.7,0.1,-0.66,-0.27,1.39,8,10,7,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
1,8,1,2.4479,0.2837,5,7,7,0.6,-0.13,-0.17,-0.18,1.59,-0.92,8,10,13,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
2,8,1,-0.9323,0.2145,1,3,5,1.76,1.31,1.62,2.08,0.06,1.39,8,3,3,1,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
2,8,1,-0.9945,0.208,1,3,1,1.76,0.5,1.62,1.6,0.21,0.52,6,6,3,1,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
2,8,1,0.3479,0.2924,4,2,4,1.16,0.27,1.34,1.05,1.34,0.59,8,10,3,1,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
1,5,1,0.1778,0.2424,4,2,2,0,1.31,1.62,0.29,0.78,1.39,8,6,4,1,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
1,8,1,-0.5219,0.2844,2,2,2,-0.57,-0.3,-0.3,-0.96,-0.64,1.39,11,4,4,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
1,8,1,-0.7723,0.3087,2,2,2,0.06,-1.8,-0.78,-2.46,1.59,0.29,8,6,4,1,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
1,8,2,-0.7889,0.329,2,4,5,1.16,1.31,1.62,0.56,-3.09,1.39,6,10,4,3,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
2,5,2,-0.9805,0.2142,1,1,1,0,-0.3,-2.51,-1.43,-1.13,-1.24,11,10,3,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1,5,1,0.0306,0.2567,3,4,2,-1.73,-2.37,-0.61,-2.11,-0.96,0.12,11,6,6,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1,8,1,0.2263,0.2464,4,4,4,1.16,1.31,0.95,0.92,1.34,0.59,8,6,7,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1,8,1,-0.8472,0.285,2,3,2,0.6,-0.3,-0.17,-0.18,-0.09,1.01,8,6,5,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1,8,1,-0.8948,0.3101,1,3,2,0,0.27,0.1,0.87,-0.64,-0.17,10,6,3,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1,8,1,-0.2184,0.2519,3,3,2,-1.16,-0.3,0.1,-0.56,0.98,0.16,8,6,8,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1,8,1,-0.0539,0.2626,3,3,7,0.6,0.9,0.55,0.49,1.59,0.16,10,10,10,3,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
2,5,3,-0.1954,0.2866,3,2,2,-0.57,0.9,0.27,0.21,1.34,-0.58,10,8,2,1,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1,8,1,-0.1637,0.2805,3,3,2,1.16,0.9,0.95,0.66,0.1,0.41,6,4,3,1,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1,5,2,0.7275,0.2682,4,2,2,1.76,0.9,1.21,-0.73,0.7,-1.19,10,10,2,5,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
2,5,1,-2.4141,0.4328,1,1,2,-1.13,-0.3,-1.58,-1.01,-0.39,0.25,11,11,1,1,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
2,8,1,0.1072,0.255,3,4,2,1.76,1.31,1.62,0.87,1.34,0.96,6,6,7,1,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1,5,1,-0.3915,0.2316,2,3,2,-0.57,-0.3,-0.12,-1.01,-0.39,0.33,8,2,4,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1,5,1,0.5734,0.285,4,2,1,-0.57,-0.3,0.1,-0.29,-0.39,0.29,8,2,3,1,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1,8,1,0.2701,0.2345,4,2,3,0.6,1.31,0.1,0.19,-0.04,-0.2,8,6,4,1,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
2,5,2,-0.7831,0.227,2,2,3,0.6,0.67,1.21,1.35,1.26,0.52,7,6,4,1,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1,8,1,-0.3608,0.2725,2,2,2,0,0.9,0.1,0.19,1.59,0.12,8,10,2,1,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1,3,1,0.3107,0.2363,4,2,2,0.03,0.5,0.94,-0.91,-1.06,-1.6,10,6,4,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1,8,1,-0.1632,0.2666,3,3,3,1.16,-0.7,0.1,0.2,-0.98,-1.43,8,6,6,1,4,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
1,8,1,-1.1058,0.2314,1,2,2,0.6,-0.07,-0.56,-1.03,-0.37,-2.78,10,6,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2,5,3,-0.9414,0.2206,1,2,1,-0.57,-0.3,0.1,0.55,-0.67,-3.08,9,6,3,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
1,5,1,-0.6672,0.3425,2,2,1,0.6,0.27,0.55,0.96,1.59,-0.81,6,2,2,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
1,5,1,0.4895,0.28,4,3,2,0,1.31,1.21,1.34,0.03,-0.2,10,10,3,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2,8,3,1.7659,0.222,5,5,5,1.76,-0.3,0.9,1.71,1.34,-0.32,10,8,13,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
1,5,2,-0.0835,0.2473,3,1,1,1.16,0.74,1.62,0.96,-0.34,-1,10,4,3,0,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2,8,1,0.7106,0.2567,4,3,3,1.16,1.31,1.23,2.08,-0.52,0.96,10,8,5,5,4,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
1,5,2,0.3358,0.2532,4,2,2,1.76,0.27,0.94,2.08,-0.39,0.67,11,10,2,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1
1,8,1,0.4676,0.2941,4,3,3,1.19,0.27,0.1,1.71,0.85,0.54,9,10,13,1,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1
2,8,3,-0.3048,0.2603,2,2,3,1.76,0.5,1.62,-0.18,1.59,0.71,6,6,6,1,4,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1
1,5,2,-0.7755,0.2782,2,1,1,0.6,0.9,0.1,0.19,0.7,0.63,2,2,2,1,2,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1
2,8,1,-1.5718,0.291,1,2,2,-1.13,1.31,0.78,-0.36,1.59,-0.67,10,11,8,1,4,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1
1,8,1,2.1427,0.2379,5,2,5,1.76,1.31,1.62,2.08,-0.37,1.09,4,8,3,1,4,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1
1,5,1,0.9305,0.2465,5,3,3,1.76,-0.13,1.62,0.57,-0.39,-0.01,6,8,4,1,4,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1
2,8,1,-0.1577,0.2569,3,2,1,1.19,-0.3,0.1,1.35,-0.39,-0.2,10,4,1,1,2,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1
2,3,1,-0.5561,0.2818,2,4,2,0,0.9,1.62,1.3,-0.39,0.71,8,7,3,1,1,3,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1
1,8,1,0.1132,0.2446,3,2,4,1.76,0.9,1.62,1.71,1.59,0.63,2,2,5,1,3,3,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1
1,8,1,0.9257,0.2449,5,7,7,1.76,0.27,1.62,2.08,1.59,0.23,10,10,10,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1
2,8,1,-0.1528,0.2364,3,4,3,0.6,1.31,1.62,-0.66,-2.27,0.41,10,6,7,5,4,3,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1
1,8,1,1.0504,0.2191,5,7,4,1.76,1.31,0.95,0.49,1.59,1.39,10,11,13,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
2,5,2,0.2019,0.2525,4,1,2,0.56,1.31,1.62,0.49,1.59,1.01,10,10,4,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
1,8,1,-0.5796,0.2977,2,2,2,0.6,-0.93,0.1,-1.63,-0.39,-0.58,4,4,3,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
